uporabnik,ID_komentarja,datum_ura,komentar,vir,odgovor_na
user_24ur_31,24ur_94,2022-11-30 11:56,ta dva sta katastrofa za maribor ... arogantna samovšečneža brez morale ... oškodovala mesto za več deset miljonov zaradi nepotrebnih stvari ... noben pri zdravi pameti ta dva ne voli,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_54,24ur_95,2022-11-30 11:52,"Kangler, prisluhi in hobotnica je marsikaj razkrila. Sicer pa, kot človek vesti nimaš. Upam, da greš kdaj na grob prižgat svečko...Nekdo je moral bit takrat glavni dežurni krivec, a ne, Kangla?!",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_42,24ur_96,2022-11-30 11:46,"imam jahto placujem davke v Sloveniji zato imam Slovensko zastavo, kandidat za zupana Slovenskega mesta z colnom z hrvasko zastavo je sramota za mesto ob Dravi",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_71,24ur_97,2022-11-30 11:40,Kaj on nima,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_72,24ur_98,2022-11-30 11:25,"Kangler ima lahko zaradi meni otok v Karibih, pa ni voljiv kar se mene tiče. Bivši miličniki nebi smeli biti nikoli politiki v demokratični državi. Peterle, kaj misliš ti glede lustracije??",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_73,24ur_99,2022-11-30 11:24,"a ""gotof je"" je samo začasni status v MB ?",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_74,24ur_100,2022-11-30 11:21,"Ob dat delat za trak, ker ob takih blamažah nista vredna da po cesti kodira!",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_73,24ur_101,2022-11-30 11:24,franca 25 ur na dan kmetuje!,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,24ur_100
user_24ur_75,24ur_102,2022-11-30 11:16,Odvisno od merila.,https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
user_24ur_17,24ur_103,2022-11-30 11:06,"Vidiš Franca, sam si se vstrelo v koleno ko si se začel pariti s SDS!",https://www.24ur.com/novice/dejstva/ima-franc-kangler-jahto-ali-coln.html,
